INFO 2024-07-30 15:00:01,472 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-30 15:00:01,725 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1721638515.2862298
DEBUG 2024-07-30 15:00:01,725 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1721638515.1692834
DEBUG 2024-07-30 15:00:01,726 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1721638515.1914163
DEBUG 2024-07-30 15:00:01,726 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1721638514.8035557
DEBUG 2024-07-30 15:00:01,726 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\base.py first seen with mtime 1721638515.1158824
DEBUG 2024-07-30 15:00:01,726 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\wsgiref\handlers.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,727 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\_markupbase.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,727 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\socketserver.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,727 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1721638515.135829
DEBUG 2024-07-30 15:00:01,728 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1721638515.2702067
DEBUG 2024-07-30 15:00:01,728 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\__init__.py first seen with mtime 1721638515.1348321
DEBUG 2024-07-30 15:00:01,728 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1721638515.2981987
DEBUG 2024-07-30 15:00:01,729 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\dis.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,729 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1721638515.2522542
DEBUG 2024-07-30 15:00:01,729 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1721638515.0839694
DEBUG 2024-07-30 15:00:01,729 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1721638515.1009223
DEBUG 2024-07-30 15:00:01,730 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\copy.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,730 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1721638515.194409
DEBUG 2024-07-30 15:00:01,730 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1721638514.0359087
DEBUG 2024-07-30 15:00:01,731 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\email\iterators.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,731 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\asgiref\local.py first seen with mtime 1721638513.0956132
DEBUG 2024-07-30 15:00:01,731 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\version.py first seen with mtime 1721638515.2902198
DEBUG 2024-07-30 15:00:01,732 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1721638515.0979304
DEBUG 2024-07-30 15:00:01,732 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\argparse.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,732 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1721638515.117877
DEBUG 2024-07-30 15:00:01,733 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\signal.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,733 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1721638515.1732774
DEBUG 2024-07-30 15:00:01,733 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1721638514.5880039
DEBUG 2024-07-30 15:00:01,733 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1721638515.1739554
DEBUG 2024-07-30 15:00:01,734 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\formats.py first seen with mtime 1721638515.2801795
DEBUG 2024-07-30 15:00:01,734 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\DLLs\_decimal.pyd first seen with mtime 1717683002.0
DEBUG 2024-07-30 15:00:01,734 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1721638515.165294
DEBUG 2024-07-30 15:00:01,735 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\operator.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,735 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1721638515.1069067
DEBUG 2024-07-30 15:00:01,735 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\asyncio\windows_utils.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,735 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\base.py first seen with mtime 1721638515.2692094
DEBUG 2024-07-30 15:00:01,736 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1721638515.2622278
